bin	CHR	START	END	SRR089377	SRR054598	SRR053605	SRR054594	SRR089397	SRR054614	SRR089402	SRR053676	SRR053633	SRR053617	SRR054608	SRR053608	SRR054602	SRR089401	SRR053668	SRR054606	SRR054613	SRR053631	SRR054575	SRR053679	SRR054604	SRR053611	SRR053607	SRR053602	SRR054610
1099	chr3	119806460	120326853	2022	355	829	292	1632	2128	2490	473	1715	978	1725	842	1357	1813	486	1004	1433	1445	1212	439	660	999	483	760	1858
1100	chr3	120326852	120863722	2049	361	831	267	1924	2114	2574	510	2218	1171	1703	761	1340	1863	639	836	1427	1635	1551	404	581	1029	539	823	1967
1101	chr3	120863721	121391070	1993	285	674	211	1810	1697	2294	368	1744	984	1216	582	1184	2037	314	819	1380	1489	1022	428	502	887	456	811	1327
1102	chr3	121391069	121920138	2130	324	1060	232	1983	2094	2253	430	1986	980	1384	687	1104	1843	639	902	1405	1706	1208	385	652	1046	540	848	1692
1103	chr3	121920137	122428729	2198	391	852	312	2130	2127	2773	466	2256	1203	1471	678	1162	1939	562	953	1529	1761	1336	472	551	1152	561	865	1639
1104	chr3	122428728	122941384	2475	368	898	274	1677	2540	2196	594	1985	939	1522	793	1658	1806	579	1047	1623	1350	1370	581	623	1047	652	755	1830
1105	chr3	122941383	123447116	1972	384	740	308	2082	2156	2881	556	1912	1206	1714	651	1446	1984	505	1058	1446	1607	1176	494	579	1019	683	903	1992
1106	chr3	123447115	123965385	2281	416	810	372	1793	2396	2514	611	2157	1360	1590	694	1453	2170	578	947	1939	1402	1481	494	716	1174	516	852	2095
1107	chr3	123965384	124475836	2483	470	937	267	1635	2127	2752	478	2052	1301	1455	902	1196	1867	699	980	1423	1373	1259	515	613	1130	625	862	1933
1108	chr3	124475835	124982143	2213	421	728	213	2073	1536	2989	549	2162	1182	1200	700	1083	2519	604	869	1303	1891	1470	617	717	979	711	894	1259
1109	chr3	124982142	125530372	1831	340	746	162	1757	1095	2084	461	1673	917	679	622	744	1849	598	536	950	1143	1264	406	506	885	554	776	1048
1110	chr3	125530371	126099232	2326	336	672	203	1685	1376	2606	415	2182	960	927	843	850	1962	1013	743	986	1316	1053	512	478	1157	487	673	1156
1111	chr3	126099231	126614719	2383	379	885	212	1998	1333	2916	590	1825	1340	1280	652	1084	2033	1188	926	1264	1494	1295	537	740	1280	653	1069	1551
1112	chr3	126614718	127118901	2172	422	944	217	1709	1384	2238	467	2216	1059	1115	756	917	2039	1000	617	1160	1412	1279	445	571	1030	601	911	1561
1113	chr3	127118900	127625827	2012	395	611	215	1757	1299	2640	481	1807	987	789	592	1026	2107	821	738	1305	1350	1165	481	591	994	512	716	1333
1114	chr3	127625826	128127964	2351	332	801	249	1960	1627	1928	401	1879	1032	941	632	917	1730	910	721	1017	1498	1253	421	545	1051	688	670	1208
1115	chr3	128127963	128638188	2157	347	730	276	2059	1860	2579	600	1644	1044	1424	748	1105	2245	958	862	1537	1374	1607	430	725	1078	521	887	1940
1116	chr3	128638187	129162482	1976	246	868	176	1847	1287	2215	470	1760	1147	1228	641	939	2474	692	797	1172	1491	1135	469	600	1076	604	1013	1500
1117	chr3	129162481	129672218	1905	256	867	185	1657	1369	2316	515	1656	930	996	781	967	1812	669	779	1087	1207	1235	435	546	967	424	663	1217
1118	chr3	129672217	130266032	2088	252	866	144	2052	1657	2377	570	2310	1054	1081	670	934	2294	626	709	1083	1729	1526	528	571	967	516	847	1309
1119	chr3	130266031	130785138	2215	217	722	206	1849	1391	2007	507	1837	1224	1109	639	819	2076	528	651	1118	1473	1346	516	653	1112	594	882	1267
1120	chr3	130785137	131308949	1960	245	777	179	1890	1648	2341	439	2057	1170	936	650	848	2364	563	601	1052	1773	1138	499	583	1071	586	836	1212
1121	chr3	131308948	131826056	2036	259	816	180	1822	1314	1954	508	2035	1423	1066	793	721	1998	621	512	1013	1737	1489	413	583	1098	601	1055	1237
1122	chr3	131826055	132352541	2134	209	841	164	1725	1127	2167	493	1728	1129	852	601	687	1950	494	588	1109	1526	1059	412	534	922	447	965	1229
1123	chr3	132352540	132883947	2159	268	889	152	1820	1452	1473	317	2082	1307	924	566	845	1214	526	714	1069	1611	954	342	544	1097	569	837	933
1124	chr3	132883946	133407856	1882	216	660	214	2014	1639	1282	256	2102	974	1069	595	972	991	596	690	839	1159	604	330	466	1123	464	856	1356
1125	chr3	133407855	133923195	1986	261	858	190	2026	1543	1439	409	2050	1162	847	685	885	1323	598	729	1093	1423	693	304	462	922	566	919	1260
1126	chr3	133923194	134430345	2294	484	939	377	1791	2313	1286	306	1719	1247	1871	822	1491	1301	609	1232	2061	1558	710	351	489	1069	652	793	2414
1127	chr3	134430344	134943408	2096	452	901	284	2166	2330	1207	212	2129	1120	1678	813	1317	1237	540	1009	2036	1293	547	272	508	1001	791	868	1947
1128	chr3	134943407	135477221	2393	393	866	309	1880	2299	1278	273	2210	1159	1561	743	1345	1323	689	1099	1568	1625	867	320	450	1062	595	874	1945
1129	chr3	135477220	135997598	2286	392	871	259	1870	2110	1206	270	1850	1091	1411	576	1195	969	564	975	1469	1283	648	287	451	1021	638	916	1619
1130	chr3	135997597	136517415	2293	678	864	392	1577	4045	2642	574	1972	1083	2866	725	2544	2625	699	1614	2882	1537	1164	486	766	867	482	907	3418
1131	chr3	136517414	137045997	1976	687	752	423	1817	3809	2490	487	1702	1097	2264	767	2402	2396	632	1588	3124	1435	1274	536	773	1058	597	813	3682
1132	chr3	137045996	137580430	2595	648	694	370	1730	3711	2593	605	2212	1243	2458	687	2200	2511	624	1616	2891	1534	1351	659	914	1032	656	821	3271
1133	chr3	137580429	138094429	2407	658	739	404	1803	3684	2532	570	1595	1118	2637	673	2192	2301	675	1594	2586	1238	1131	491	763	970	587	757	3247
1134	chr3	138094428	138609423	2037	617	769	418	1790	4090	2323	572	1521	1115	2908	655	2336	2288	468	1780	3001	1464	1183	578	776	923	479	906	3233
1135	chr3	138609422	139132032	2131	817	731	405	1866	4255	2604	500	2072	1013	2659	849	2588	2450	575	1852	3382	1266	1385	613	827	999	562	832	3903
1136	chr3	139132031	139650550	2549	804	970	385	1553	4155	2761	506	2124	1041	2915	679	2755	2641	701	2144	3069	1318	1681	580	915	1117	558	808	3407
1137	chr3	139650549	140154166	2413	617	837	365	1712	3432	2591	395	1946	1039	2388	655	1946	2485	546	1541	2545	1491	1218	669	814	1137	677	754	3193
1138	chr3	140154165	140668441	2341	703	821	450	1994	3999	2707	472	2176	1260	2428	812	2304	2255	703	1550	3087	1873	1340	524	954	1223	713	944	3140
1139	chr3	140668440	141184032	2342	751	818	498	2056	3654	2658	623	2190	1083	2855	671	2355	2412	549	1636	2760	1484	1556	504	844	1153	648	1001	3605
1140	chr3	141184031	141698617	2262	510	721	355	1911	2990	2035	535	1713	1119	2122	643	1854	2000	516	1473	2344	1372	1263	504	803	1024	566	881	2611
1141	chr3	141698616	142217796	2040	552	675	300	1739	2619	2002	472	1693	912	2031	670	1730	2241	556	1271	2039	1199	1196	486	661	926	520	716	2320
1142	chr3	142217795	142725876	2090	639	685	392	1618	3028	1935	418	1718	1039	2242	657	2149	2258	421	1405	2550	1393	1125	420	706	904	532	710	2350
1143	chr3	142725875	143235884	2182	698	763	427	2103	3315	2274	466	1903	971	2528	847	2377	2136	621	1768	2902	1461	1202	500	748	870	544	751	2767
1144	chr3	143235883	143752826	2200	630	853	433	1763	2987	2254	524	1990	917	2564	780	2420	1671	488	1618	2964	1492	1212	472	877	1029	533	798	2673
1145	chr3	143752825	144255564	2093	784	741	430	2036	2621	2487	450	2117	1133	2588	748	2129	1994	725	1815	2746	1583	1226	545	764	1148	478	797	2897
1146	chr3	144255563	144765684	2383	721	813	507	1878	2827	2248	431	2238	1141	3022	608	2124	2315	605	1873	3007	1313	1440	617	843	972	669	1022	2772
1147	chr3	144765683	145282971	2163	901	795	401	1901	2980	2645	454	2048	1199	3009	871	2553	2524	613	2007	3295	1402	1344	619	917	1087	603	783	3218
1148	chr3	145282970	145801026	1947	713	916	460	1758	2628	2791	522	1866	848	2970	740	2253	2286	590	1804	2961	1345	1367	603	855	999	560	775	2750
1149	chr3	145801025	146318171	2376	660	712	400	1679	2327	2280	618	1734	923	2437	633	2145	2267	532	1651	2581	1171	1139	520	758	944	555	626	2637
1150	chr3	146318170	146835242	2214	778	782	487	1738	2745	2500	521	1701	1262	2887	751	2301	2201	651	1816	3127	1559	1488	558	721	964	494	654	2807
1151	chr3	146835241	147343147	2326	807	940	541	1797	2790	2156	428	1935	1178	3033	753	2691	1895	734	1865	3265	1396	1433	510	765	1088	539	871	3178
1152	chr3	147343146	147849563	2091	819	875	450	1847	2696	2347	392	1963	1218	2852	673	2372	2260	408	1768	2951	1475	1266	575	778	878	457	857	2965
1153	chr3	147849562	148376202	2490	817	978	455	1717	2731	2227	674	2074	1107	2731	844	2439	2291	610	1752	3133	1952	1404	499	786	1074	578	762	2717
1154	chr3	148376201	148888108	2103	678	902	370	1566	2315	2033	481	1318	1031	2454	627	2138	1636	518	1407	2938	1254	1031	442	630	1087	407	827	2462
1155	chr3	148888107	149393452	2301	786	866	494	2029	2682	1929	432	2012	1129	2671	656	2495	1740	539	1630	3210	1585	1366	514	810	966	619	873	3135
1156	chr3	149393451	149905629	2014	739	862	453	1896	2688	2447	551	1770	1161	3056	695	2521	2051	643	1635	3177	1372	1336	690	886	1298	577	912	3124
1157	chr3	149905628	150412072	1991	689	779	424	1868	2561	2005	534	1927	1140	2588	713	2279	1957	667	1993	2834	1356	1401	570	770	992	587	811	2727
1158	chr3	150412071	150923162	2036	637	834	465	1697	2570	2255	445	1516	1066	2675	732	2409	1897	712	1723	2738	1141	1376	480	756	1062	564	846	2748
1159	chr3	150923161	151440473	1802	749	815	374	1685	2648	2395	468	1803	1231	2781	759	2288	2036	638	1982	3117	1224	1614	499	824	1032	538	805	2816
1160	chr3	151440472	151950487	1610	666	874	396	2089	2530	2057	394	1768	1019	2655	659	2155	1981	643	1697	2954	1219	1482	571	747	944	508	810	2866
1161	chr3	151950486	152459182	1667	654	953	367	1480	2320	1716	352	1543	1050	2064	633	2140	1896	547	1413	2699	1135	1129	453	693	849	579	744	2657
1162	chr3	152459181	152975289	1853	611	657	401	1680	2317	2028	356	1491	1136	2177	566	2135	1735	548	1476	2463	1272	895	445	632	994	500	715	2659
1163	chr3	152975288	153494807	2134	666	708	400	1814	2765	2081	495	2074	1203	2545	585	2456	2189	470	1829	2831	1551	1249	525	1182	993	495	882	2570
1164	chr3	153494806	154018724	1975	789	669	371	1416	2692	2484	618	1999	979	2749	742	2175	2298	574	1954	2936	1401	1297	667	846	959	548	836	2757
1165	chr3	154018723	154532241	1762	738	738	436	2108	2775	2031	427	1687	943	2722	688	2160	2468	548	1771	2823	1579	1220	519	807	1021	469	904	2541
1166	chr3	154532240	155055514	2099	760	798	419	1786	2905	2220	374	1809	1153	2737	674	2635	2547	463	1729	3168	1485	1272	539	793	1084	605	939	2743
1167	chr3	155055513	155579462	2228	654	954	411	1882	2777	2221	405	2022	1233	2490	614	2467	2162	656	1839	3043	1454	1290	555	883	1125	657	782	2937
1168	chr3	155579461	156094170	1950	760	649	386	1855	2327	2369	485	1698	1121	2733	725	1946	2433	944	1757	2631	1495	1265	518	757	915	579	818	2750
1169	chr3	156094169	156605092	1704	708	832	528	1938	2465	2106	465	1580	960	2690	687	2324	2165	791	1769	3044	1275	1109	503	852	1079	471	987	2828
1170	chr3	156605091	157117554	1960	777	921	452	1698	2580	2071	434	1886	1119	2900	608	2276	2309	767	1844	2999	1671	1251	511	810	1022	671	851	2729
1171	chr3	157117553	157638565	1722	744	761	494	2104	2886	2051	450	2088	1287	2781	767	2583	2556	623	1788	3161	1514	1332	537	795	1090	627	808	2864
1172	chr3	157638564	158169711	2205	793	652	415	1863	2352	2208	457	1600	940	2496	730	1941	2058	570	1605	2350	1584	1085	423	746	1073	596	838	2722
1173	chr3	158169710	158687019	1911	693	869	461	1540	2348	1909	410	1686	996	2439	653	1911	2098	590	1506	2745	1297	979	464	694	814	561	789	2311
1174	chr3	158687018	159221830	2214	785	921	390	2130	2812	2001	468	2252	1161	2713	675	2622	2476	557	1830	3123	1545	1391	535	857	1016	572	856	3094
1175	chr3	159221829	159735234	2074	750	866	442	1438	2861	2527	373	2000	1197	2665	665	2634	2215	545	1887	2869	1718	1269	488	768	1050	493	990	2751
1176	chr3	159735233	160245930	1956	615	727	429	1466	2119	1930	488	1731	886	2647	576	2294	2252	440	1624	2761	1061	981	570	783	1021	538	948	2563
1177	chr3	160245929	160760014	1913	812	721	419	1912	2814	2189	480	2177	1268	2809	683	2447	2337	685	1936	3323	1256	1066	616	861	1162	701	827	2820
1178	chr3	160760013	161270465	1961	738	657	379	1663	2451	2704	505	1813	1141	2856	717	2677	2481	604	1847	2827	1646	1202	514	790	1092	540	743	2945
1179	chr3	161270464	161780879	1928	709	844	384	2044	2364	1864	471	1994	1272	2647	671	2279	2159	535	1605	2872	1389	1344	523	683	945	570	847	2755
1180	chr3	161780878	162300819	1800	702	901	435	1786	2237	2430	585	2301	1152	2514	743	2448	2271	492	1828	2800	1447	1501	559	798	977	559	814	2686
1181	chr3	162300818	162808972	1908	715	688	392	1405	2166	2323	509	1675	938	2626	681	2160	2094	522	1705	2837	1049	1374	594	735	837	555	906	2541
1182	chr3	162808971	163335338	2503	817	752	401	1867	2623	2553	466	2107	1175	2687	697	2388	2604	632	1906	3130	1350	1426	544	749	1049	561	784	2953
1183	chr3	163335337	163852942	2033	681	662	455	1769	2519	2229	386	1770	1147	2662	615	2053	2424	1015	1638	2737	1285	1389	437	686	1052	482	734	2859
1184	chr3	163852941	164365136	2287	674	758	435	2033	2901	2691	463	1904	1105	2997	669	2737	2497	482	1873	3028	1215	1338	494	862	1089	561	806	2595
1185	chr3	164365135	164877183	1952	659	746	484	1797	2347	2889	506	1902	996	2857	742	2479	2506	771	1817	3260	1742	1383	521	834	1181	579	878	2995
1186	chr3	164877182	165397450	1999	653	855	427	1698	2667	2015	469	1821	1099	2628	679	2260	2230	800	1684	2830	1258	1667	519	854	918	625	691	2605
1187	chr3	165397449	165915998	2103	742	741	424	1628	2725	2530	514	1769	1295	2902	704	2382	2824	825	1746	3196	1087	1213	584	790	947	559	798	2770
1188	chr3	165915997	166433375	2097	729	612	408	1602	2364	2497	600	1677	1129	2646	589	2158	2306	577	1610	2608	1401	1315	532	775	827	468	867	2443
1189	chr3	166433374	166949097	1785	643	803	397	1859	2524	2327	500	1660	1031	2561	648	2198	2058	463	1693	2740	1329	1286	432	764	1091	563	887	2550
1190	chr3	166949096	167463935	1949	647	803	489	1989	2640	2082	439	1879	1019	2750	770	2073	2222	465	1659	2622	1451	1418	478	697	1061	496	688	2629
1191	chr3	167463934	167975386	1887	751	836	392	1494	2657	2460	435	1668	959	2821	735	2223	2083	458	1759	2890	1366	1339	553	776	1129	611	723	2922
1192	chr3	167975385	168492943	2049	899	873	460	1697	2967	2008	391	2218	1220	3286	762	2442	2413	666	1999	3119	1391	1599	424	898	1190	762	907	3235
1193	chr3	168492942	168996287	2077	738	861	434	1645	2436	2177	474	2033	1136	2690	635	2109	2069	1254	1732	2886	1421	1384	420	785	1041	591	735	2885
1194	chr3	168996286	169513676	1825	784	766	479	1870	3459	2215	538	1905	981	3132	641	2749	2322	835	1930	2959	1516	1310	421	882	1163	575	865	2798
1195	chr3	169513675	170018988	2142	685	880	427	1765	2827	2292	398	1603	921	2692	703	2193	2074	782	1651	2602	1362	1235	467	676	1095	591	663	2649
1196	chr3	170018987	170535984	2049	793	712	406	1638	3460	2236	665	1952	1276	2855	687	2931	2139	781	1962	3249	1443	1297	539	873	1155	541	1028	3054
1197	chr3	170535983	171057764	2339	736	844	545	1867	3379	2346	580	1844	1124	2562	738	2719	2118	617	1746	3111	1523	1503	520	794	1238	597	967	3188
1198	chr3	171057763	171574339	2034	692	929	419	1928	3385	2481	606	2038	1135	2953	666	2353	2682	702	2210	2946	1664	1310	536	826	1195	509	868	2871
1199	chr3	171574338	172078938	1843	669	733	540	1655	3299	2411	501	1671	1336	2917	713	2620	2006	543	1983	3010	1440	1197	538	926	1087	467	815	3049
1200	chr3	172078937	172590463	2075	617	657	419	1826	3212	2341	462	1663	865	2545	652	2363	2064	580	1739	2420	1412	1069	480	655	859	529	742	2807
1201	chr3	172590462	173094884	2693	567	757	398	1689	3435	2240	467	1801	1213	2740	761	2397	2097	799	1529	2911	1501	1350	527	790	1068	563	831	2738
1202	chr3	173094883	173605882	1962	563	795	419	1670	3193	2197	646	2146	1007	2929	659	2484	2241	1292	1799	3067	1598	1375	600	804	968	595	838	2907
1203	chr3	173605881	174114029	1898	612	817	396	1594	3041	2294	425	2247	1070	2553	566	2128	2025	901	1607	2976	1160	1244	504	880	851	536	736	2917
1204	chr3	174114028	174629649	2017	689	666	428	1753	2968	2502	423	1974	1241	2655	710	2355	2165	921	1697	3001	1315	1198	555	890	932	514	638	3089
1205	chr3	174629648	175144283	1769	576	858	476	1851	3473	2380	437	1803	1053	2904	689	2392	2191	1136	1853	2922	1510	1429	531	847	1051	497	760	2622
1206	chr3	175144282	175662085	1886	544	772	358	1591	3027	2133	546	1901	892	2159	618	2191	1975	850	1652	2395	1314	1240	438	734	867	574	607	2168
1207	chr3	175662084	176178932	2194	442	680	264	1838	1828	1744	274	1710	1059	1283	763	1189	1470	792	958	1459	1148	1459	292	569	1177	601	841	1607
1208	chr3	176178931	176696820	2417	249	716	192	2025	1653	1373	221	2093	1012	1007	660	791	1203	655	734	1038	1492	1394	210	476	942	592	742	1282
1209	chr3	176696819	177208671	2022	241	866	173	1821	1400	1268	246	1859	1115	981	608	925	809	537	612	1118	1271	1465	267	428	952	490	754	1429
1210	chr3	177208670	177720230	2305	239	861	147	1498	1234	1118	293	2039	1104	907	584	904	733	568	716	1117	1391	1091	172	416	1060	633	773	1233
1211	chr3	177720229	178225238	2314	231	805	196	1678	1480	1204	232	1738	1122	931	650	745	1038	611	635	1010	1456	1187	309	431	1010	614	784	1150
1212	chr3	178225237	178744877	2205	276	802	169	2235	1828	1487	377	1821	1308	1110	774	1012	1158	985	782	1137	1438	1777	273	470	1102	798	828	1278
1213	chr3	178744876	179269950	2183	203	664	168	1761	1456	1266	278	1577	1016	880	580	983	948	720	644	876	1418	1358	237	433	1056	490	714	1101
1214	chr3	179269949	179777962	2213	230	799	130	1616	1294	1460	163	1708	1128	927	658	819	746	578	599	843	1098	1374	206	389	1043	510	867	1384
1215	chr3	179777961	180302538	2109	258	868	195	1650	1522	1176	236	2014	943	1165	698	977	1111	741	859	1130	1475	1337	273	447	1095	569	894	1405
1216	chr3	180302537	180811917	2519	290	706	176	1695	1573	938	344	1714	1076	978	800	915	1190	1102	660	1089	1463	1096	193	489	1041	539	943	1225
1217	chr3	180811916	181325510	2472	261	876	214	1701	1256	1065	221	2149	1112	1105	733	803	1376	1086	714	973	1320	1504	276	464	1000	636	1053	1313
1218	chr3	181325509	181831294	2139	247	794	168	1728	1488	1289	244	1669	1078	1208	773	1025	1181	1145	720	1138	1479	1589	218	508	1370	597	868	1318
1219	chr3	181831293	182342075	2246	304	789	147	1698	1336	1384	351	2096	1254	1062	959	815	1117	1157	622	979	1491	1248	235	567	1088	590	956	1465
1220	chr3	182342074	182850413	2158	205	731	209	1800	1438	1099	199	1806	899	980	685	879	1165	854	659	1180	1374	1164	226	361	858	549	691	1411
1221	chr3	182850412	183364779	2307	288	975	228	2071	1259	1231	269	2111	1123	1077	627	1045	1286	1016	796	1121	1355	1301	256	542	1060	632	832	1381
1222	chr3	183364778	183873888	2093	242	755	178	1650	1131	1216	257	1580	944	830	597	775	1348	926	601	983	1328	1188	175	397	936	567	819	1109
1223	chr3	183873887	184379470	2171	249	831	199	1519	1588	1208	256	1930	1124	1040	738	828	1093	825	750	959	1531	1153	214	435	968	563	858	1176
1224	chr3	184379469	184886464	2594	348	706	313	1836	2146	1250	286	1730	1067	1297	917	1228	2164	1018	1003	1731	1279	1265	275	539	1135	611	870	1410
1225	chr3	184886463	185405328	2051	353	647	210	2030	1664	975	198	1902	1114	1319	636	1157	1489	921	799	1274	1309	947	223	434	929	499	756	1609
1226	chr3	185405327	185912638	2179	438	799	258	1932	2106	1328	246	1534	1062	1654	630	1217	850	960	899	1228	1384	1391	235	408	992	448	737	1781
1227	chr3	185912637	186420888	2135	350	771	264	1577	2008	1479	280	1903	1130	1519	736	1274	1127	1105	946	1556	1395	1274	205	485	1037	547	748	1741
1228	chr3	186420887	186940721	2110	361	795	290	1661	1513	1360	262	1776	1124	1341	663	1247	760	623	814	1557	1400	1330	315	491	971	488	750	2273
1229	chr3	186940720	187455458	2150	342	782	258	1830	1933	1387	280	1983	1179	1496	639	1308	1011	584	853	1615	1362	1333	304	470	1165	598	927	1809
1230	chr3	187455457	187968655	2149	419	737	299	1854	2419	1096	277	2034	1066	1510	830	1217	1048	546	1044	1494	1523	1618	279	486	1042	599	919	1860
1231	chr3	187968654	188479747	2257	410	862	268	1973	2164	1302	228	1724	1152	1309	567	1321	982	623	875	1360	1762	1062	226	505	956	663	854	1520
1232	chr3	188479746	188995848	2058	384	926	300	1862	1986	1328	292	2300	1239	1508	864	1166	1000	528	962	1593	1428	1158	229	476	993	618	838	1907
1233	chr3	188995847	189504062	2048	457	890	304	1872	2221	1535	271	1958	1195	1579	653	1190	995	476	1020	1835	1452	1125	291	509	1199	668	938	2010
1234	chr3	189504061	190014211	1966	322	660	261	1732	2057	1306	238	1770	1106	1316	614	1107	704	425	884	1486	1313	1068	207	411	889	612	665	1512
1235	chr3	190014210	190518910	2231	152	861	118	2013	804	1498	208	2008	1068	598	702	498	982	997	443	620	1535	1346	253	381	975	632	889	696
1236	chr3	190518909	191033359	2137	123	776	115	1618	655	1069	265	1779	944	442	581	349	991	975	301	435	1173	1127	176	267	963	582	817	559
1237	chr3	191033358	191545411	1921	87	723	82	1554	498	1301	230	1763	790	613	546	271	1190	891	263	382	1446	1280	243	278	921	519	607	618
1238	chr3	191545410	192059672	1884	111	808	78	1559	600	1224	239	2158	1028	415	660	267	1112	1087	284	566	1678	1198	234	304	1348	537	737	462
1239	chr3	192059671	192569668	2003	90	900	104	1518	719	1364	363	2060	1159	523	657	523	1217	1068	338	498	1420	1422	232	374	1114	549	941	576
1240	chr3	192569667	193086900	2156	140	639	65	1898	587	1466	349	1749	1010	453	680	391	1106	766	309	332	1298	1373	275	373	1034	597	785	670
1241	chr3	193086899	193594520	2021	145	846	94	2034	755	1543	265	1803	1083	480	608	320	1137	712	448	528	1600	1262	289	327	931	624	722	603
1242	chr3	193594519	194103816	2126	129	788	121	1879	735	1575	242	2166	1007	605	721	499	1116	935	304	582	1265	1336	273	358	1204	637	902	619
1243	chr3	194103815	194611679	1977	105	925	110	1494	777	1317	314	1969	1098	475	561	427	849	643	484	557	1409	1320	185	349	992	558	675	671
1244	chr3	194611678	195125332	2039	135	898	113	1725	612	1317	247	1943	928	684	761	731	724	660	464	591	1490	1512	328	412	1091	582	863	763
1245	chr3	195125331	195765182	2160	114	779	86	1831	697	1457	278	1552	891	540	754	495	901	593	415	575	1353	1211	257	328	944	462	878	703
1246	chr3	195765181	196281616	2031	85	657	72	1646	724	927	198	1573	1052	469	638	414	926	586	285	501	1354	1062	197	264	904	555	679	648
1247	chr3	196281615	196794668	2031	133	744	94	1615	690	1466	151	1329	1067	534	655	463	940	634	310	583	1124	1031	258	333	786	553	696	603
1248	chr3	196794667	197306432	2117	128	811	99	1847	810	1399	159	1674	1243	568	671	636	927	569	359	613	1465	1649	266	422	1144	624	893	734
1249	chr3	197306431	198022430	2106	119	616	87	1459	640	1140	211	1487	988	584	672	467	1021	502	289	460	1336	1335	230	273	932	595	685	606
1250	chr4	1	554047	2372	766	811	545	2370	4485	3191	514	1824	1223	2940	801	2255	2652	685	1596	2888	1732	1592	570	604	1357	651	863	3489
1251	chr4	554046	1074366	2365	791	1044	627	1862	5033	2994	701	2420	1131	3202	909	2581	2524	988	1728	3148	1764	1606	560	664	1165	682	1144	4215
1252	chr4	1074365	1650964	2093	769	1141	697	1794	5459	2914	653	2211	1346	3314	825	2395	1781	864	1899	2770	1598	1652	558	732	1188	602	877	3644
1253	chr4	1650963	2166058	1970	606	775	347	1485	3396	2531	360	1910	790	2515	601	2023	1965	924	1279	2469	1237	1095	466	380	917	446	727	2842
1254	chr4	2166057	2679720	1618	553	793	452	1477	3957	2618	416	1537	780	2579	669	2369	2293	948	1673	2423	1100	1179	464	452	817	478	790	2755
1255	chr4	2679719	3194159	1552	665	724	729	1354	4155	2345	433	1610	916	2915	747	2571	1902	1157	1626	2674	1434	1396	513	518	1058	462	769	3294
1256	chr4	3194158	3722265	1954	621	1079	530	1659	4145	3204	454	2342	1365	3345	795	2399	2338	1101	1711	2795	1568	1959	584	537	1327	654	1071	3285
1257	chr4	3722264	4346360	1560	525	650	470	1708	3577	2577	493	1814	863	2202	669	2334	1922	905	1389	2248	1232	1179	497	456	835	526	596	2603
1258	chr4	4346359	4855400	1942	789	705	675	2315	4416	2924	486	2344	1203	3608	642	2871	2287	989	1900	3392	1261	1400	644	680	1043	616	1162	3648
1259	chr4	4855399	5381726	2294	732	761	666	2290	4305	3250	550	2133	1271	3052	708	2755	2788	1180	1715	2861	1385	1503	655	589	1136	684	913	3360
1260	chr4	5381725	5918442	2011	853	1008	649	1980	4179	2857	531	2528	1184	3370	665	2716	2398	1022	1924	2871	1485	1299	542	703	1178	695	792	3193
1261	chr4	5918441	6427652	1981	651	786	593	1833	4508	2636	451	2674	1215	2815	863	2745	1950	988	1582	2898	1660	1124	662	651	1083	561	924	3132
1262	chr4	6427651	6941071	1708	750	873	703	1943	4511	3007	541	1880	966	3258	884	3014	2304	998	1723	2974	1420	1651	568	700	1250	553	920	3722
1263	chr4	6941070	7455461	1915	628	967	434	1670	3641	2683	542	1910	1065	2487	557	2424	1904	964	1477	2631	1407	960	412	604	882	617	853	2905
1264	chr4	7455460	7965183	1873	653	844	593	1638	3161	2636	465	2468	987	2447	724	2606	1837	981	1466	2695	1739	1073	460	553	1102	585	848	2708
1265	chr4	7965182	8475220	2253	595	887	466	1648	3693	3343	520	2087	1186	2161	633	2149	1908	890	1429	2836	2057	1293	526	567	1095	773	728	3150
1266	chr4	8475219	9065300	2625	476	641	463	1710	3129	1939	398	1880	1126	2033	708	2158	1834	842	1301	2052	1275	1140	430	436	912	440	683	2625
1267	chr4	9065299	9896562	2042	539	662	401	1497	3149	2226	455	1592	992	2463	428	2426	2175	789	1476	2398	1234	1203	354	529	924	413	678	3146
1268	chr4	9896561	10406519	1594	646	655	596	1779	3686	2607	410	1706	1138	2425	677	2592	2048	943	1469	2948	1358	1341	439	543	941	473	813	2970
1269	chr4	10406518	10926623	1971	619	952	573	1652	3222	2136	506	2241	1132	2390	852	2368	1967	1062	1450	2563	1521	1504	455	591	953	725	807	3005
1270	chr4	10926622	11465890	2058	655	795	545	1906	2844	2551	486	1934	1132	2240	724	2284	2168	1181	1437	2638	1430	1256	542	641	1142	564	908	3432
1271	chr4	11465889	11991938	2106	664	744	583	2016	3175	2508	461	1902	1168	2189	690	2117	2378	1122	1273	2545	1605	1301	547	497	1011	528	706	2909
1272	chr4	11991937	12521711	1894	650	734	437	1952	3721	2855	604	2068	1195	2277	790	2526	2437	1013	1352	2377	1089	1277	509	591	1072	583	744	2854
1273	chr4	12521710	13040954	1773	638	979	521	1723	3220	2631	530	1800	1271	2373	677	2170	2396	1239	1403	2681	1368	1169	470	597	1020	608	919	3025
1274	chr4	13040953	13555596	1997	369	920	406	1783	2379	1484	194	1937	841	1656	691	1766	1090	1090	968	1647	1434	717	250	265	1069	546	763	1654
